fight_id,fighter_id,opening,closing_range_min,closing_range_max
3e9f3ce3a01bb97f,03f982ca3735070c,125,155,167
3f7684492c9df05e,03f982ca3735070c,-120,-155,-150
412735f3e0b66ea6,03f982ca3735070c,-130,120,125
53ee6c3591483193,03f982ca3735070c,190,175,175
819af4bbad55324d,03f982ca3735070c,-175,-227,-210
8375f311e8c6c079,03f982ca3735070c,-315,-375,-370
9072bf6135cad3e0,03f982ca3735070c,-215,-360,-350
92049ba4483fc840,03f982ca3735070c,160,155,160
ccfe7b0d29c5440c,03f982ca3735070c,140,155,162
ce0748519d5ea5c6,03f982ca3735070c,-150,-164,-152
e53c8a20819f9be6,03f982ca3735070c,-260,-425,-400
e939acbd9894c686,03f982ca3735070c,-155,-172,-165
f187c7ec92f43828,03f982ca3735070c,130,140,157
f43f9861e73739c8,03f982ca3735070c,-260,-220,-212
1a7cd191f0cf160c,040a74bb0a465c54,124,150,180
6049301b4deea035,040a74bb0a465c54,125,140,150
71b81d8199a0fa19,040a74bb0a465c54,100,-3500,135
7ec86f2af631344f,040a74bb0a465c54,-110,-115,-110
836a188a90e479a5,040a74bb0a465c54,130,170,190
8a2e28da18ba6a25,040a74bb0a465c54,-218,-290,-250
8cc4c597aecbfef5,040a74bb0a465c54,-290,-151,-138
a554a72bb0377213,040a74bb0a465c54,150,-135,-114
c48af5eafb532d0a,040a74bb0a465c54,-245,-357,-320
c82f9bc365ff1074,040a74bb0a465c54,-315,-340,-340
cd7fd3f034717d3c,040a74bb0a465c54,160,145,150
ce3d94186567a684,040a74bb0a465c54,-158,-121,-105
ed94cdc0f2b97e15,040a74bb0a465c54,-265,-278,-220
f6efb09c01e4cac6,040a74bb0a465c54,-245,-255,-245
09f5fb0bec3c948a,045f25b3a4c08e81,220,300,335
437c6e18f41287f1,045f25b3a4c08e81,-175,-160,-131
72d703db67371e1d,045f25b3a4c08e81,220,330,351
7aede55e4e47c698,045f25b3a4c08e81,-185,265,275
86892d114b204bf3,045f25b3a4c08e81,-270,-525,-500
e59aabdfba9d6c45,045f25b3a4c08e81,130,132,145
e9f00c16810e0e61,045f25b3a4c08e81,260,450,575
f1afa75c8d492550,045f25b3a4c08e81,170,210,243
61f0ceb980c1ae81,04643fd03d9159cc,285,270,270
63cfbf28e44febc2,04643fd03d9159cc,-495,-450,-450
6ca284a75c21c2e0,04643fd03d9159cc,-800,-800,-800
854c64fe481e65ee,04643fd03d9159cc,155,173,173
b0958ed411ae9675,04643fd03d9159cc,-145,-170,-170
fa2271eecde701ed,04643fd03d9159cc,-120,105,105
6671b567c4eb9982,047a91d3d9c79b05,-160,120,138
a27a355f52883f3e,047a91d3d9c79b05,250,250,305
1d892fec31dc7ad7,04835018f90b118c,-185,-167,-152
6832e9e62da0f9d3,04835018f90b118c,-300,-270,-225
b1e048825b5bbe1c,04835018f90b118c,-250,-420,-350
b9d5c77ae7a8109b,04835018f90b118c,140,105,124
